Data,Fechamento,Abertura_Lag1,Máxima_Lag1,Mínima_Lag1,Volume_Lag1,Fechamento_Lag1,Abertura_Media5,Máxima_Media5,Mínima_Media5,Fechamento_Media5,Volume_Media5,Abertura_Media10,Máxima_Media10,Mínima_Media10,Fechamento_Media10,Volume_Media10,Abertura_Media15,Máxima_Media15,Mínima_Media15,Fechamento_Media15,Volume_Media15,Variação_Dia_Anterior_Lag1
2025-07-07,0,140.928,141.564,140.597,3310000000.0,1.0,139.937,140.7908,139.2364,0.6,6134000000.0,138.3145,139.29379999999998,137.66559999999998,0.6,6840000000.0,138.28586666666666,139.1622,137.55026666666666,0.4666666666666667,7449333333.333333,-0.33600000000001273
2025-07-08,0,141.265,141.342,139.295,6120000000.0,0.0,140.0642,140.77000000000004,139.2194,0.4,6214000000.0,138.60840000000002,139.4373,137.91719999999998,0.5,6707000000.0,138.4378,139.13573333333335,137.65413333333333,0.4,7391333333.333333,1.7749999999999773
2025-07-09,0,139.491,139.591,138.77,6750000000.0,0.0,140.0076,140.6264,139.0024,0.4,5968000000.0,138.82240000000002,139.6541,138.0906,0.5,6694000000.0,138.44093333333333,139.12466666666668,137.58786666666666,0.4,7338000000.0,0.1880000000000166
2025-07-10,0,139.303,139.331,137.299,7580000000.0,0.0,139.6918,139.85999999999999,138.395,0.2,6666000000.0,138.99290000000002,139.666,138.1164,0.4,6849000000.0,138.34946666666667,139.01206666666667,137.42593333333335,0.4,7421333333.333333,1.8220000000000027
2025-07-11,0,137.472,137.472,136.014,9570000000.0,0.0,138.85459999999998,138.8956,137.3812,0.0,7484000000.0,138.9558,139.6193,138.0223,0.4,6965000000.0,138.21793333333332,138.88026666666667,137.3401333333333,0.4,7162000000.0,0.7290000000000134
2025-07-14,0,136.742,136.742,135.528,7400000000.0,0.0,137.839,137.8646,136.49020000000002,0.0,6261466000.0,138.88799999999998,139.3277,137.8633,0.3,6197733000.0,138.156,138.8174,137.2738,0.4,6647155333.333333,0.5549999999999784
2025-07-15,0,136.187,136.187,134.84,7330000.0,0.0,137.00039999999998,137.15079999999998,135.61219999999997,0.0,4912846000.0,138.5323,138.9604,137.41580000000002,0.2,5563423000.0,138.07240000000002,138.67513333333332,137.14886666666663,0.3333333333333333,6108948666.666667,0.8880000000000052
